customer_id,credit_score,credit_score_band,country,gender,age,age_group,tenure,balance,balance_segment,products_number,credit_card,credit_card_status,active_member,membership_status,estimated_salary,high_value_customer,churn,churn_status
15634602,619,Fair,France,Female,42,40-49,2,0.0,Zero Balance,1,1,Has Credit Card,1,Active,101348.88,No,1,Churned
15647311,608,Fair,Spain,Female,41,40-49,1,83807.86,50K-100K,1,0,No Credit Card,1,Active,112542.58,No,0,Retained
15619304,502,Poor,France,Female,42,40-49,8,159660.8,150K+,3,1,Has Credit Card,0,Inactive,113931.57,No,1,Churned
15701354,699,Good,France,Female,39,30-39,1,0.0,Zero Balance,2,0,No Credit Card,0,Inactive,93826.63,No,0,Retained
15737888,850,Excellent,Spain,Female,43,40-49,2,125510.82,100K-150K,1,1,Has Credit Card,1,Active,79084.1,Yes,0,Retained
15574012,645,Fair,Spain,Male,44,40-49,8,113755.78,100K-150K,2,1,Has Credit Card,0,Inactive,149756.71,No,1,Churned
15592531,822,Excellent,France,Male,50,50-59,7,0.0,Zero Balance,2,1,Has Credit Card,1,Active,10062.8,No,0,Retained
15656148,376,Poor,Germany,Female,29,18-29,4,115046.74,100K-150K,4,1,Has Credit Card,0,Inactive,119346.88,No,1,Churned
15792365,501,Poor,France,Male,44,40-49,4,142051.07,100K-150K,2,0,No Credit Card,1,Active,74940.5,Yes,0,Retained
15592389,684,Good,France,Male,27,18-29,2,134603.88,100K-150K,1,1,Has Credit Card,1,Active,71725.73,Yes,0,Retained
15767821,528,Poor,France,Male,31,30-39,6,102016.72,100K-150K,2,0,No Credit Card,0,Inactive,80181.12,No,0,Retained
15737173,497,Poor,Spain,Male,24,18-29,3,0.0,Zero Balance,2,1,Has Credit Card,0,Inactive,76390.01,No,0,Retained
15632264,476,Poor,France,Female,34,30-39,10,0.0,Zero Balance,2,1,Has Credit Card,0,Inactive,26260.98,No,0,Retained
15691483,549,Poor,France,Female,25,18-29,5,0.0,Zero Balance,2,0,No Credit Card,0,Inactive,190857.79,No,0,Retained
15600882,635,Fair,Spain,Female,35,30-39,7,0.0,Zero Balance,2,1,Has Credit Card,1,Active,65951.65,No,0,Retained
15643966,616,Fair,Germany,Male,45,40-49,3,143129.41,100K-150K,2,0,No Credit Card,1,Active,64327.26,Yes,0,Retained
15737452,653,Fair,Germany,Male,58,50-59,1,132602.88,100K-150K,1,1,Has Credit Card,0,Inactive,5097.67,No,1,Churned
15788218,549,Poor,Spain,Female,24,18-29,9,0.0,Zero Balance,2,1,Has Credit Card,1,Active,14406.41,No,0,Retained
15661507,587,Fair,Spain,Male,45,40-49,6,0.0,Zero Balance,1,0,No Credit Card,0,Inactive,158684.81,No,0,Retained
15568982,726,Good,France,Female,24,18-29,6,0.0,Zero Balance,2,1,Has Credit Card,1,Active,54724.03,No,0,Retained
15577657,732,Good,France,Male,41,40-49,8,0.0,Zero Balance,2,1,Has Credit Card,1,Active,170886.17,No,0,Retained
15597945,636,Fair,Spain,Female,32,30-39,8,0.0,Zero Balance,2,1,Has Credit Card,0,Inactive,138555.46,No,0,Retained
15699309,510,Poor,Spain,Female,38,30-39,4,0.0,Zero Balance,1,1,Has Credit Card,0,Inactive,118913.53,No,1,Churned
15725737,669,Fair,France,Male,46,40-49,3,0.0,Zero Balance,2,0,No Credit Card,1,Active,8487.75,No,0,Retained
15625047,846,Excellent,France,Female,38,30-39,5,0.0,Zero Balance,1,1,Has Credit Card,1,Active,187616.16,No,0,Retained
15738191,577,Poor,France,Male,25,18-29,3,0.0,Zero Balance,2,0,No Credit Card,1,Active,124508.29,No,0,Retained
15736816,756,Very Good,Germany,Male,36,30-39,2,136815.64,100K-150K,1,1,Has Credit Card,1,Active,170041.95,Yes,0,Retained
15700772,571,Poor,France,Male,44,40-49,9,0.0,Zero Balance,2,0,No Credit Card,0,Inactive,38433.35,No,0,Retained
